Model,Accuracy,Precision,Recall,F1-Score,Prediction Time (s),ROC AUC,Log Loss
k-nearest_neighbors_2025-06-09_15-12-28,0.825,0.9113725490196078,0.7555555555555555,0.7892307692307693,0.01164698600769043,0.9814176137624415,0.38144510676743415
support_vector_machine_2025-06-09_15-12-28,0.95,0.9692307692307691,0.9777777777777779,0.9715686274509805,0.011107921600341797,1.0,0.16974298399312276
logistic_regression_2025-06-09_15-12-28,0.925,0.962280701754386,0.8822222222222222,0.9128659093876484,0.010867834091186523,0.9987460815047022,0.3387678964030781
random_forest_2025-06-09_15-12-29,0.975,0.9894736842105264,0.9818181818181818,0.985070785070785,0.041300058364868164,1.0,0.19662706846130334
